feature,effect_size
platelet_ptt_interaction,0.994561816707824
phosphate,0.9611579028392887
rbc,0.9534305868509341
creatinine,0.9528787276108431
platelet,0.9461712803271073
hematocrit,0.8937905172967053
platelets_squared,0.8364114491780411
hemoglobin,0.8267490984452714
ph,0.7842495121351233
bun,0.760290975456775
chloride,0.6879641937914501
aniongap,0.6698089565927715
ptt_squared,0.5297901241761177
sodium,0.5286074804026094
ptt,0.5226023205929597
pco2,0.4859814463592441
return_pressure,0.44617681963509287
potassium,0.3954369365881085
heparin_dose,0.3758467184470739
high_pressure,0.36816575506188287
wbc,0.3453046035589449
effluent_pressure,0.2769611770456154
ldh,0.264947227388517
fibrinogen,0.26050008019482906
magnesium,0.2472611322150055
bicarbonate,0.20955888948128565
glucose,0.20631440492018133
citrate,0.19872739166262876
replacement_rate,0.1898524488246339
lactate,0.18221649800770548
bun_creatinine_ratio,0.1793275343863669
hourly_patient_fluid_removal,0.17673660267323943
calcium,0.1694390503285235
ultrafiltrate_output,0.1671718215705258
platelet_wbc_ratio,0.1453479278927206
creatinine_change_rate,0.1372846049077024
pt,0.10622453455219893
inr,0.10128465895816881
wbc_rbc_ratio,0.09677705033705986
ptt_change,0.09521605306760289
hematocrit_change,0.07566508164494748
ptt_change_rate,0.07225622768273918
creatinine_change,0.06931771750119739
hematocrit_change_rate,0.06278824662630282
filter_pressure,0.06126874796647748
platelet_change,0.052207765880808936
current_goal,0.04664291720327424
access_pressure,0.040091838952227704
hct_bloodflow_interaction,0.03523949797606324
day_of_week,0.03059626604021689
dialysate_rate,0.029015565240198785
platelet_change_rate,0.023272069914070128
is_weekend,0.01654500518132675
postfilter_replacement_rate,0.01654088380404208
flow_pressure_ratio,0.01227677122031328
is_night_shift,0.006816163929265026
hour_of_day,0.004821429567629592
prefilter_replacement_rate,0.003852850603931133
blood_flow,0.0016023800469652473
