Variable,N,Missing,Missing %,Mean,Median,Std Dev,Min,Max,25th,75th
hematocrit,121687,3924,3.1239302290404503,27.29,26.6,4.23,12.2,58.3,24.4,29.4
hemoglobin,114871,10740,8.550206590187164,8.88,8.6,1.42,3.9,18.3,7.9,9.7
platelet,116261,9350,7.443615606913408,148.83,116.0,114.39,5.0,1075.0,64.0,206.0
rbc,113395,12216,9.725262914872106,2.92,2.84,0.52,1.21,6.08,2.55,3.21
wbc,113345,12266,9.765068345925117,17.24,15.1,11.02,0.1,260.6,10.1,21.8
d_dimer,2311,123300,98.16019297672975,5778.4,5003.0,4661.34,601.0,21509.0,2453.5,6555.5
fibrinogen,26252,99359,79.10055647992613,338.83,232.0,252.58,26.0,1612.0,154.0,489.0
thrombin,100,125511,99.92038913789398,25.87,15.8,29.79,15.3,150.0,15.3,18.2
inr,102953,22658,18.038229135983315,1.68,1.4,0.84,0.8,27.4,1.2,1.9
pt,102997,22614,18.003200356656663,18.28,15.7,8.32,9.1,150.0,13.2,20.5
ptt,108369,17242,13.726504844320958,46.59,39.5,21.31,19.2,150.0,31.9,55.5
albumin,15673,109938,87.52258958212259,2.9,2.8,0.78,0.9,6.6,2.3,3.3
globulin,58,125553,99.95382569997851,2.16,2.0,0.54,1.6,3.1,1.8,2.1750000000000003
total_protein,186,125425,99.8519237964828,5.17,5.1,0.87,3.8,7.3,4.4,5.6
aniongap,119837,5774,4.596731178001927,16.87,17.0,3.96,2.0,53.0,14.0,19.0
bicarbonate,120455,5156,4.104736050186688,22.42,22.0,3.69,3.0,38.0,20.0,25.0
bun,101599,24012,19.116160208898904,28.55,24.0,19.19,1.0,217.0,15.0,36.0
calcium,99929,25682,20.44566160606953,9.04,9.0,0.94,4.8,29.0,8.4,9.6
chloride,121432,4179,3.326937927410816,99.58,100.0,4.62,73.0,122.0,96.0,103.0
creatinine,101875,23736,18.89643422948627,1.82,1.5,1.22,0.1,16.7,1.0,2.2
glucose,117453,8158,6.49465413060958,153.64,142.0,54.22,20.0,826.0,117.0,180.0
sodium,121961,3650,2.9057964668699396,136.51,136.0,3.46,113.0,159.0,134.0,139.0
potassium,122111,3500,2.786380173710901,4.22,4.2,0.49,1.8,9.5,3.9,4.5
lactate,64519,61092,48.63586787781325,2.37,1.9,2.06,0.4,28.0,1.3,2.6
ph,123625,1986,1.581071721425671,7.38,7.39,0.07,6.87,7.62,7.34,7.43
pco2,123623,1988,1.5826639386677919,41.58,40.0,9.18,13.0,138.0,36.0,46.0
triglyceride,10044,115567,92.00388501007077,330.25,279.0,230.29,22.0,2856.0,163.0,437.0
hdl_cholesterol,485,125126,99.61388731878577,24.31,22.0,13.93,9.0,73.0,11.0,30.0
ldl_cholesterol,319,125292,99.74604134988178,71.95,59.0,34.05,7.0,123.0,51.0,123.0
magnesium,121874,3737,2.975057916902182,2.02,2.0,0.28,1.0,4.3,1.8,2.2
phosphate,118914,6697,5.331539435240544,3.12,2.8,1.35,0.9,27.7,2.2,3.6
ldh,51294,74317,59.164404391335154,506.45,403.0,340.63,67.0,4165.0,290.0,591.0
blood_flow,119221,6390,5.087134088575045,165.64,150.0,586.18,-200.0,200200.0,120.0,200.0
filter_pressure,122063,3548,2.8245933875217935,137.47,128.0,444.76,-461.0,148146.0,103.0,158.0
access_pressure,122050,3561,2.8349427995955767,-56.71,-54.0,186.1,-64154.0,500.0,-71.0,-36.0
return_pressure,122027,3584,2.853253297879963,61.01,56.0,41.32,-262.0,4560.0,40.0,76.0
dialysate_rate,119613,5998,4.775059509119424,724.69,700.0,377.82,-50.0,20000.0,500.0,1000.0
replacement_rate,118870,6741,5.366568214567195,1752.56,1800.0,587.88,-20.0,26000.0,1400.0,2000.0
ultrafiltrate_output,95720,29891,23.796482792112155,367.78,365.0,160.61,-423.0,1409.0,260.0,470.0
effluent_pressure,122019,3592,2.8596221668484447,-18.52,-15.0,49.38,-1117.0,622.0,-44.0,8.0
hourly_patient_fluid_removal,115894,9717,7.735787470842522,383.79,380.0,210.31,-760.0,40059.0,270.0,500.0
citrate,102041,23570,18.764280198390267,132.25,180.0,94.66,-25.0,3145.0,90.0,200.0
heparin_dose,72772,52839,42.06558342820295,253.37,0.0,579.43,-45.0,28000.0,0.0,0.0
